Ç?N?,?ng.
KREDIT,S?l?m.
DÖVRAN,Zaman.
NOXUD,Paxlali bitki.
S?RINKES,Vintelyator.
EYVAN,Balkon.
YEH?R,Atdan hündüt itd?n balaca.
ANTONIM,?ks M?nali sözl?r.
F?RARI,H?rbi xidm?td?n yayinmis.
IZURTU,Mannanin paytaxti.
DIALOQ,Iki insan arasinda yaranan söhb?t.
D?SMAL,?l üz sil?n.
CAHAN,Dünya.
Z?R?R,Ziyan.
DAXMA,Koma.
ULAQ,Yük dasiyan.
TRAKTOR,T?s?rrüfat texnikasi.
HIMALAY,Uzunlugu 8848 metr olan dag.
AZON,Qoruyucu hava t?b?q?si.
DÜSÜNC?,Fikir.
IDMAN,Fiziki m?sguliyy?t.
X?Z?R,?n böyük göl.
MISMAR,Tikinti materiali.
Esik,Bayir Cöl.
MARAL,Heyvan.
NAR,Payizda yetis?n meyv?.
GÜNAHKAR,T?qsirkar.
MESSI,1 ild? ?n çox qol vurmus futbolçu.
MURAD,At.
NEFT,Nöyüt.
BALINA,?n böyük m?m?li.
M?SL?K,Is.
N?RGIZ,Gül.
SEVGI,Ist?k.
T?YYAR?,Hava n?qliyyati.
SAF,T?miz.
BANA,Sari meyv?.
QALOS,Üstü qara içi qirmizi.
QIZIL?HM?DI,Ismayilli almasi.
SAVADLI,Çox bilmis.
B?S?R,Insan.
IZL?M?K,Müsahid? etm?k.
K?B?,Qibl?gah.
CANAVAR,Yirtici heyvan.
T?RLAN,Ov qusu.
FASAD,Binanin üzü.
YORULMAQ,Haydan düsm?k.
G?NC?,Az?rbaycanin ilk paytaxti.
FINDIQ,L?p?.
QORA,Yetism?mis üzüm.
XADIM?,Ev t?mizl?y?n qadin.
QAQARIN,Ilk kosmonavt.
F?N?R,Isiq.
SÜLH,Baris.
KERASIN,Yanacaq madd?.
ÖRD?K,Qus.
OBA,El.
KAINAT,Dünya.
RAYON,K?nd?ri olan ?razi.
