CƏBHƏ,Döyüş bölgəsi.
ƏKSSƏDA,Exo.
BORU,Turba.
DİVANƏ,Məcnun.
İSTƏK,Arzu sözünün sinonimi.
SABİT,Cərəyan növü.
EŞŞƏK,Ulaq.
KARXANA,Daş hazırlanan yer.
BUYNUZ,Bəzi heyvanların silahı.
MAGELLAN,İlk dünya səyahətçisi kim olub?
TƏRƏVƏZ,Yemiş nədir?
GİLƏMEYVƏ,Qarpız nədir?
QUTQAŞEN,Qəbələnin köhnə adı.
LAYKA,İlk dəfə aya uçan itin adı.
İRAN,Azərbaycanın cənub qonşusu.
VERGİ,Kəramət.
ŞƏR,Qara yaxmaq.
MƏAD,Ölümdən sonrakı həyat.
DULUÇU,Saxsı qab düzəldən.
FİKİR,Rəy.
GƏNCƏ,Çinarlar şəhəri.
ZAMAN,Tarix.
FİZİKA,Təbiəti oyrənən elm.
KÜRƏK,Bel.
BİDƏT,Dinə əlavə edilən yalançı adətlər.
İDRAK,Ağıl.
MƏRMƏR,Qranit.
CÜMLƏ,Bitmiş fikir.
NƏRƏ,Balıq növü.
İFTİRA,Böhtan.
DAMAR,Boruşəkilli orqan.
QALA,Düşmənə müqavimət göstərmək üçün tikili.
QƏMGİN,Tutqun.
TUT,Şirəli meyvə.
YEZNƏ,Bacının əri.
MƏLƏK,Məlaikə.
KARTOF,Nişasta ilə zəngin bitki.
BUZOVNA,Bakıda kənd.
GÜLDAN,Gülqabı.
MİSMAR,Mıx.
PROFESSOR,Elmi ad.
ŞİMPANZE,İnsanabənzər meymun.
GÖYƏRÇİN,Quş.
ƏNƏNƏ,Adət.
MƏRHƏMƏT,Rəhm.
QIĞILCIM,Uçan isti dəmir.
NƏŞR,Dərc etmə.
BADIMCAN,Tünd-bənövşəyi rəngli tərəvəz.
MÜHACİR,Vətənini tərk etmiş.
